#
#   VizieR Astronomical Server vizier.u-strasbg.fr 	2012-05-21T08:21:19 [V1.88 (30-Jan-2012)]
#   (replaces the 'Astrores' format originally described at
#    http://vizier.u-strasbg.fr/doc/astrores.htx)
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#INFO	votable-version=1.88 (30-Jan-2012)	
#INFO	-ref=VIZ4fb9f6df6278	
#INFO	-out.max=9999	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:II/144&cat:II/145&cat:V/53A&tab:{V/53A/catalog}&cat:VII/103&cat:J/A+A/341/553&cat:J/A+A/442/381&cat:J/A+A/451/835&cat:J/A+A/466/917&cat:J/A+A/486/505&cat:J/A+AS/93/373&cat:J/A+AS/102/89&cat:J/A+AS/104/9&cat:J/A+AS/106/257&cat:J/AJ/75/167&cat:J/AJ/126/1996&cat:J/ApJ/469/629&cat:J/ApJS/199/23&key:source=brightest+star&HTTPPRM:&-ref=VIZ4fb9f6df6278&-out.max=9999&-out.form=ascii table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-out.src=V/53A/catalog&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=n_HR&-out=Flamsteed&-out=Const&-out=RA2000&-out=DE2000&-out=ELON&-out=ELAT&-out=Dist&-out=Vmag&-out=SpType&-out=nComp&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=V/53A/catalog
#-source=V/53A/catalog
#-order=I
#-out=HR
#-out=n_HR
#-out=Flamsteed
#-out=Const
#-out=RA2000
#-out=DE2000
#-out=ELON
#-out=ELAT
#-out=Dist
#-out=Vmag
#-out=SpType
#-out=nComp
#

#RESOURCE=yCat_5053
#Name: V/53A
#Title: Catalogue of the Brightest Stars (Ochsenbein+ 1988)
#Coosys	B2000:	eq_FK4 B2000
#Coosys	J2000:	eq_FK5 J2000
#Table	V_53A_catalog:
#Name: V/53A/catalog
#Title: The Catalogue
#Column	_RAJ2000	(F8.4)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account  (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ "Bright Star" catalog <V/50>	[ucd=ID_MAIN]
#Column	n_HR	(A1)	indicates that name(s) exist for this star in the file "\begin{tex}\vFile{V/53A/./names.dat}{names.dat}\end{tex}" {\em(indique l'existence de nom(s) usuels)}	[ucd=DATA_LINK]
#Column	Flamsteed	(I3)	? Flamsteed number	[ucd=ID_ALTERNATIVE]
#Column	Const	(A3)	\W{const}{/vizier/VizieR/constellations.htx}{Constellation Name} (3 characters)	[ucd=ID_CONSTEL]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=POS_EQ_RA_MAIN]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=POS_EQ_DEC_MAIN]
#Column	ELON	(F6.2)	Ecliptic longitude, J2000	[ucd=POS_EC_LON]
#Column	ELAT	(F6.2)	Ecliptic latitude, J2000	[ucd=POS_EC_LAT]
#Column	Dist	(I5)	Distance of star in light-years (5)	[ucd=PHYS_DISTANCE_TRUE]
#Column	Vmag	(F5.2)	[-1.46/5.03] Visual magnitude (magnitude visuelle)	[ucd=PHOT_JHN_V]
#Column	SpType	(a19)	MK Spectral Type	[ucd=SPECT_TYPE_MK]
#Column	nComp	(I2)	[1/13]? Number of visual components (nombre de composantes visuelles)	[ucd=NUMBER]
_RAJ2000;_DEJ2000;HR;n_HR;Flamsteed;Const;RA2000;DE2000;ELON;ELAT;Dist;Vmag;SpType;nComp
deg;deg; ; ; ; ;"h:m:s";"d:m:s";deg;deg;al;mag; ;
--------;--------;----;-;---;---;----------;---------;------;------;-----;-----;-------------------;--
001.3341; -5.7075;   3; ; 33;Psc;00 05 20.1;-05 42 27;358.95; -5.77;  130; 4.61;K1III              ; 3
002.0970;+29.0905;  15;*; 21;And;00 08 23.2;+29 05 26; 14.31; 25.68;   98; 2.06;B8IVpMnHg          ; 2
002.2945;+59.1496;  21;*; 11;Cas;00 09 10.6;+59 08 59; 35.12; 51.22;   55; 2.27;F2III-IV           ; 2
002.3528;-45.7474;  25; ;   ;Phe;00 09 24.6;-45 44 51;339.65;-41.96;  141; 3.87;K0III              ;
002.8162;-15.4680;  33; ;  6;Cet;00 11 15.8;-15 28 05;356.28;-15.28;   62; 4.89;F7V                ;
003.3091;+15.1836;  39;*; 88;Peg;00 13 14.1;+15 11 01;  9.16; 12.60;  362; 2.84;B2IV               ; 3
003.6508;+20.2066;  45; ; 89;Peg;00 14 36.1;+20 12 24; 11.60; 17.05;  326; 4.80;M2+III             ;
003.6599;-18.9327;  48; ;  7;Cet;00 14 38.3;-18 55 58;355.54;-18.77;  543; 4.46;M3III              ;
004.2728;+38.6816;  63; ; 24;And;00 17 05.4;+38 40 54; 21.20; 33.39;  271; 4.61;A2V                ;
004.5820;+36.7852;  68; ; 25;And;00 18 19.6;+36 47 07; 20.40; 31.60;  141; 4.52;A2V                ;
004.8570; -8.8239;  74; ;  8;Cet;00 19 25.6;-08 49 26;  0.92;-10.02;  296; 3.55;K1.5III            ; 3
005.0179;-64.8749;  77; ;   ;Tuc;00 20 04.2;-64 52 30;322.37;-57.72;   28; 4.23;F9V                ;
006.4391;-77.2544;  98; ;   ;Hyi;00 25 45.3;-77 15 16;300.97;-64.79;   24; 2.79;G2IV               ;
006.5712;-42.3060;  99; ;   ;Phe;00 26 17.0;-42 18 22;345.49;-40.63;   77; 2.38;K0III              ; 2
006.5508;-43.6799; 100; ;   ;Phe;00 26 12.1;-43 40 48;344.52;-41.79;   77; 3.93;A7V                ;
006.9824;-33.0072; 105; ;   ;Scl;00 27 55.7;-33 00 26;351.58;-32.71;  645; 4.81;M4III              ;
007.9433;+54.5222; 123; ; 14;Cas;00 31 46.3;+54 31 20; 34.67; 45.66;  362; 4.73;B8Vn               ; 2
007.8541;-48.8035; 125; ;   ;Phe;00 31 24.9;-48 48 13;341.62;-46.57;  181; 4.77;A0V                ; 2
007.8866;-62.9582; 126; ;   ;Tuc;00 31 32.7;-62 57 30;326.59;-57.35;  141; 4.37;B9V                ; 4
007.8903;-62.9657; 127; ;   ;Tuc;00 31 33.6;-62 57 57;326.58;-57.36;  181; 4.54;A2V+A7V            ; 4
008.2499;+62.9319; 130; ; 15;Cas;00 32 59.9;+62 55 55; 42.60; 52.28; 2917; 4.16;B1Iae              ;
009.2428;+53.8969; 153; ; 17;Cas;00 36 58.2;+53 53 49; 35.07; 44.72;  660; 3.66;B2IV               ;
009.2203;+33.7194; 154; ; 29;And;00 36 52.8;+33 43 10; 22.68; 27.15;  356; 4.36;B5V                ; 3
009.6391;+29.3119; 163; ; 30;And;00 38 33.3;+29 18 43; 20.92; 23.02;  171; 4.38;G8IIIp             ;
009.8320;+30.8611; 165; ; 31;And;00 39 19.6;+30 51 40; 21.81; 24.35;  101; 3.28;K3III              ; 3
010.1270;+56.5374; 168;*; 18;Cas;00 40 30.4;+56 32 15; 37.78; 46.62;  232; 2.23;K0IIIa             ; 4
010.5162;+50.5124; 179; ; 19;Cas;00 42 03.8;+50 30 45; 33.48; 41.45;  572; 4.81;B2V                ;
010.3316;-46.0849; 180; ;   ;Phe;00 41 19.5;-46 05 06;345.82;-45.27;  250; 4.59;G8III              ;
010.8670;+47.0247; 184; ; 20;Cas;00 43 28.0;+47 01 29; 31.42; 38.33;  181; 4.94;A5V                ;
